group,period_end,value
New Mexico,5/26/20,39.1
New York,5/26/20,34.4
North Carolina,5/26/20,32.3
North Dakota,5/26/20,28.1
Ohio,5/26/20,34.6
Oklahoma,5/26/20,32.8
Oregon,5/26/20,35.3
Pennsylvania,5/26/20,33.9
Rhode Island,5/26/20,33.8
South Carolina,5/26/20,32.2
South Dakota,5/26/20,36.3
Tennessee,5/26/20,33.1
Texas,5/26/20,37.7
Utah,5/26/20,31.9
Vermont,5/26/20,28.8
Virginia,5/26/20,33.1
Washington,5/26/20,31.8
West Virginia,5/26/20,37.9
Wisconsin,5/26/20,28.9
Wyoming,5/26/20,28.3
Alabama,6/2/20,37.5
Alaska,6/2/20,31.6
Arizona,6/2/20,32.6
Arkansas,6/2/20,39
California,6/2/20,38.6
Colorado,6/2/20,33.6
Connecticut,6/2/20,35.1
Delaware,6/2/20,30.3
District of Columbia,6/2/20,33
Florida,6/2/20,40
Georgia,6/2/20,34.9
Hawaii,6/2/20,26.1
Idaho,6/2/20,31.8
Illinois,6/2/20,37
Indiana,6/2/20,36.2
Iowa,6/2/20,32.9
Kansas,6/2/20,32
Kentucky,6/2/20,39
Louisiana,6/2/20,36.3
Maine,6/2/20,29.3
Maryland,6/2/20,30.8
Massachusetts,6/2/20,29.9
Michigan,6/2/20,34.5
Minnesota,6/2/20,30
Mississippi,6/2/20,38.7
Missouri,6/2/20,33.7
Montana,6/2/20,28.6
Nebraska,6/2/20,26.6
Nevada,6/2/20,34.2
New Hampshire,6/2/20,31.8
New Jersey,6/2/20,36.5
New Mexico,6/2/20,39.5
New York,6/2/20,34.8
North Carolina,6/2/20,33
North Dakota,6/2/20,26
Ohio,6/2/20,37
Oklahoma,6/2/20,38.6
Oregon,6/2/20,39.5
Pennsylvania,6/2/20,35.1
Rhode Island,6/2/20,34
South Carolina,6/2/20,35.6
South Dakota,6/2/20,29.7
Tennessee,6/2/20,33.6
Texas,6/2/20,36.9
Utah,6/2/20,34.5
Vermont,6/2/20,35.3
Virginia,6/2/20,31.4
Washington,6/2/20,36.7
West Virginia,6/2/20,38.9
Wisconsin,6/2/20,26.7
Wyoming,6/2/20,32.9
Alabama,6/9/20,36.9
Alaska,6/9/20,35.2
Arizona,6/9/20,36.8
Arkansas,6/9/20,38.2
California,6/9/20,39.7
Colorado,6/9/20,34.7
Connecticut,6/9/20,32.8
Delaware,6/9/20,33
District of Columbia,6/9/20,39.5
Florida,6/9/20,40.7
Georgia,6/9/20,35.7
Hawaii,6/9/20,27.5
Idaho,6/9/20,32
Illinois,6/9/20,39.5
Indiana,6/9/20,32.1
Iowa,6/9/20,34.9
Kansas,6/9/20,36.6
Kentucky,6/9/20,37.6
Louisiana,6/9/20,36.5
Maine,6/9/20,35.4
Maryland,6/9/20,26.9
Massachusetts,6/9/20,31
Michigan,6/9/20,28.1
Minnesota,6/9/20,31
Mississippi,6/9/20,38.4
Missouri,6/9/20,29.5
Montana,6/9/20,30.4
Nebraska,6/9/20,31
Nevada,6/9/20,38.5
New Hampshire,6/9/20,35.1
New Jersey,6/9/20,33.8
New Mexico,6/9/20,34.7
New York,6/9/20,38.6
North Carolina,6/9/20,36.2
North Dakota,6/9/20,23
Ohio,6/9/20,36.9
Oklahoma,6/9/20,33.7
Oregon,6/9/20,40.5
