group,period_end,value
70 - 79 years,2/1/21,26.8
80 years and above,2/1/21,22.6
18 - 29 years,2/15/21,56.3
30 - 39 years,2/15/21,44.3
40 - 49 years,2/15/21,40.7
50 - 59 years,2/15/21,36.9
60 - 69 years,2/15/21,32.6
70 - 79 years,2/15/21,24.7
80 years and above,2/15/21,23.3
18 - 29 years,3/1/21,56.1
30 - 39 years,3/1/21,45
40 - 49 years,3/1/21,39.8
50 - 59 years,3/1/21,37.2
60 - 69 years,3/1/21,30.4
70 - 79 years,3/1/21,24.3
80 years and above,3/1/21,22.4
18 - 29 years,3/15/21,53.1
30 - 39 years,3/15/21,44.1
40 - 49 years,3/15/21,37.8
50 - 59 years,3/15/21,34.7
60 - 69 years,3/15/21,28
70 - 79 years,3/15/21,21.7
80 years and above,3/15/21,23.5
18 - 29 years,3/29/21,50.7
30 - 39 years,3/29/21,41.6
40 - 49 years,3/29/21,37.9
50 - 59 years,3/29/21,31.6
60 - 69 years,3/29/21,27
70 - 79 years,3/29/21,20.9
80 years and above,3/29/21,22.5
18 - 29 years,4/26/21,52.9
30 - 39 years,4/26/21,38.4
40 - 49 years,4/26/21,34.9
50 - 59 years,4/26/21,28.8
60 - 69 years,4/26/21,22.9
70 - 79 years,4/26/21,17.9
80 years and above,4/26/21,17.9
18 - 29 years,5/10/21,49.2
30 - 39 years,5/10/21,36.5
40 - 49 years,5/10/21,31.4
50 - 59 years,5/10/21,29.6
60 - 69 years,5/10/21,22.5
70 - 79 years,5/10/21,16.5
80 years and above,5/10/21,18.6
18 - 29 years,5/24/21,45.9
30 - 39 years,5/24/21,37.4
40 - 49 years,5/24/21,32.3
50 - 59 years,5/24/21,28
60 - 69 years,5/24/21,21.9
70 - 79 years,5/24/21,16.2
80 years and above,5/24/21,14
18 - 29 years,6/7/21,43.9
30 - 39 years,6/7/21,36.1
40 - 49 years,6/7/21,32.9
50 - 59 years,6/7/21,27.8
60 - 69 years,6/7/21,21.5
70 - 79 years,6/7/21,16.3
80 years and above,6/7/21,13.4
18 - 29 years,6/21/21,45.5
30 - 39 years,6/21/21,37.1
40 - 49 years,6/21/21,33.4
50 - 59 years,6/21/21,28.8
60 - 69 years,6/21/21,22.7
70 - 79 years,6/21/21,16.3
80 years and above,6/21/21,9.7
18 - 29 years,7/5/21,46.6
30 - 39 years,7/5/21,34.8
40 - 49 years,7/5/21,31.8
50 - 59 years,7/5/21,27.1
60 - 69 years,7/5/21,20.4
70 - 79 years,7/5/21,14.9
80 years and above,7/5/21,14.8
18 - 29 years,8/2/21,51.3
30 - 39 years,8/2/21,38.6
40 - 49 years,8/2/21,32.8
50 - 59 years,8/2/21,27.1
60 - 69 years,8/2/21,22.1
70 - 79 years,8/2/21,15.4
80 years and above,8/2/21,17.1
18 - 29 years,8/16/21,45.8
30 - 39 years,8/16/21,40.6
40 - 49 years,8/16/21,32.8
50 - 59 years,8/16/21,28.4
60 - 69 years,8/16/21,21
70 - 79 years,8/16/21,15.4
80 years and above,8/16/21,16.1
18 - 29 years,8/30/21,46.7
30 - 39 years,8/30/21,40.7
40 - 49 years,8/30/21,35.3
50 - 59 years,8/30/21,30.6
60 - 69 years,8/30/21,22.5
70 - 79 years,8/30/21,16.8
80 years and above,8/30/21,13.5
18 - 29 years,9/13/21,50
30 - 39 years,9/13/21,40.5
40 - 49 years,9/13/21,35.4
50 - 59 years,9/13/21,29.1
60 - 69 years,9/13/21,22.3
70 - 79 years,9/13/21,15
80 years and above,9/13/21,16.8
18 - 29 years,9/27/21,49.1
30 - 39 years,9/27/21,38.8
40 - 49 years,9/27/21,34.2
50 - 59 years,9/27/21,31.7
60 - 69 years,9/27/21,23.2
70 - 79 years,9/27/21,15.2
80 years and above,9/27/21,16.4
18 - 29 years,10/11/21,47.7
30 - 39 years,10/11/21,39.2
40 - 49 years,10/11/21,35.5
50 - 59 years,10/11/21,29.4
60 - 69 years,10/11/21,22.1
70 - 79 years,10/11/21,15.1
80 years and above,10/11/21,18.4
18 - 29 years,12/13/21,44.5
30 - 39 years,12/13/21,37.2
40 - 49 years,12/13/21,35.4
50 - 59 years,12/13/21,29.7
60 - 69 years,12/13/21,21
70 - 79 years,12/13/21,14.2
80 years and above,12/13/21,17.4
18 - 29 years,1/10/22,47.5
30 - 39 years,1/10/22,39.8
40 - 49 years,1/10/22,35.2
50 - 59 years,1/10/22,29.8
60 - 69 years,1/10/22,22.7
70 - 79 years,1/10/22,16.1
80 years and above,1/10/22,15
18 - 29 years,2/7/22,46.7
30 - 39 years,2/7/22,41.6
40 - 49 years,2/7/22,33
50 - 59 years,2/7/22,29.6
60 - 69 years,2/7/22,22.9
70 - 79 years,2/7/22,14.9
80 years and above,2/7/22,12
18 - 29 years,3/14/22,48.4
30 - 39 years,3/14/22,39.4
40 - 49 years,3/14/22,33.3
50 - 59 years,3/14/22,28.5
60 - 69 years,3/14/22,22.5
70 - 79 years,3/14/22,16.1
80 years and above,3/14/22,17.8
18 - 29 years,4/11/22,47.5
30 - 39 years,4/11/22,39.7
40 - 49 years,4/11/22,33.3
50 - 59 years,4/11/22,29.3
60 - 69 years,4/11/22,21.6
70 - 79 years,4/11/22,16.1
80 years and above,4/11/22,11.8
18 - 29 years,5/9/22,45.7
30 - 39 years,5/9/22,40.6
40 - 49 years,5/9/22,34.7
50 - 59 years,5/9/22,29.4
60 - 69 years,5/9/22,19.6
70 - 79 years,5/9/22,15.5
80 years and above,5/9/22,11.8
18 - 29 years,6/13/22,50
30 - 39 years,6/13/22,39.5
40 - 49 years,6/13/22,34.1
50 - 59 years,6/13/22,31.9
60 - 69 years,6/13/22,24.6
70 - 79 years,6/13/22,15.9
80 years and above,6/13/22,19.6
