group,period_end,value
New Mexico,10/12/20,20.4
New York,10/12/20,18.4
North Carolina,10/12/20,21.9
North Dakota,10/12/20,19.4
Ohio,10/12/20,19.8
Oklahoma,10/12/20,26.2
Oregon,10/12/20,21.2
Pennsylvania,10/12/20,20.1
Rhode Island,10/12/20,25
South Carolina,10/12/20,22.4
South Dakota,10/12/20,20.5
Tennessee,10/12/20,21.5
Texas,10/12/20,17.9
Utah,10/12/20,23.3
Vermont,10/12/20,19.9
Virginia,10/12/20,19.1
Washington,10/12/20,20.6
West Virginia,10/12/20,32.1
Wisconsin,10/12/20,19.6
Wyoming,10/12/20,18.5
Alabama,10/26/20,21.6
Alaska,10/26/20,15.8
Arizona,10/26/20,19.9
Arkansas,10/26/20,25.1
California,10/26/20,17
Colorado,10/26/20,21.8
Connecticut,10/26/20,17.7
Delaware,10/26/20,20.1
District of Columbia,10/26/20,16.9
Florida,10/26/20,19.3
Georgia,10/26/20,19.5
Hawaii,10/26/20,10
Idaho,10/26/20,24.1
Illinois,10/26/20,18.2
Indiana,10/26/20,26.4
Iowa,10/26/20,22.7
Kansas,10/26/20,24.6
Kentucky,10/26/20,25.2
Louisiana,10/26/20,23.6
Maine,10/26/20,27.2
Maryland,10/26/20,18.9
Massachusetts,10/26/20,24.5
Michigan,10/26/20,23
Minnesota,10/26/20,21.1
Mississippi,10/26/20,26.2
Missouri,10/26/20,24.4
Montana,10/26/20,19.3
Nebraska,10/26/20,20.2
Nevada,10/26/20,15.4
New Hampshire,10/26/20,24.3
New Jersey,10/26/20,16.1
New Mexico,10/26/20,20.4
New York,10/26/20,15.5
North Carolina,10/26/20,19.4
North Dakota,10/26/20,20.6
Ohio,10/26/20,22.2
Oklahoma,10/26/20,22.8
Oregon,10/26/20,24.3
Pennsylvania,10/26/20,24.1
Rhode Island,10/26/20,26.2
South Carolina,10/26/20,19.2
South Dakota,10/26/20,19.1
Tennessee,10/26/20,23.2
Texas,10/26/20,18.4
Utah,10/26/20,23
Vermont,10/26/20,18.7
Virginia,10/26/20,19.3
Washington,10/26/20,22.2
West Virginia,10/26/20,25.1
Wisconsin,10/26/20,23.4
Wyoming,10/26/20,19.5
Alabama,11/9/20,25.2
Alaska,11/9/20,18.3
Arizona,11/9/20,19.6
Arkansas,11/9/20,23.6
California,11/9/20,18.3
Colorado,11/9/20,22.6
Connecticut,11/9/20,23.8
Delaware,11/9/20,22.7
District of Columbia,11/9/20,19.7
Florida,11/9/20,19.6
Georgia,11/9/20,20.6
Hawaii,11/9/20,14.2
Idaho,11/9/20,21.4
Illinois,11/9/20,21.9
Indiana,11/9/20,23.9
Iowa,11/9/20,25.6
Kansas,11/9/20,23.7
Kentucky,11/9/20,25
Louisiana,11/9/20,25.3
Maine,11/9/20,21.7
Maryland,11/9/20,20
Massachusetts,11/9/20,22.1
Michigan,11/9/20,22.7
Minnesota,11/9/20,21.5
Mississippi,11/9/20,20.1
Missouri,11/9/20,21
Montana,11/9/20,18.8
Nebraska,11/9/20,23.8
Nevada,11/9/20,19.9
New Hampshire,11/9/20,20.9
New Jersey,11/9/20,17.5
New Mexico,11/9/20,24.9
New York,11/9/20,13.7
North Carolina,11/9/20,20.4
North Dakota,11/9/20,21.3
Ohio,11/9/20,22.5
Oklahoma,11/9/20,23.9
Oregon,11/9/20,22.2
Pennsylvania,11/9/20,26.4
Rhode Island,11/9/20,24.2
South Carolina,11/9/20,23.3
South Dakota,11/9/20,19.1
Tennessee,11/9/20,21.6
Texas,11/9/20,19.6
Utah,11/9/20,24.9
Vermont,11/9/20,27.4
Virginia,11/9/20,22.2
Washington,11/9/20,20.8
West Virginia,11/9/20,27.6
Wisconsin,11/9/20,19.5
Wyoming,11/9/20,19.4
Alabama,11/23/20,27.1
Alaska,11/23/20,19.7
Arizona,11/23/20,18.3
Arkansas,11/23/20,31.4
California,11/23/20,16.3
Colorado,11/23/20,21.9
Connecticut,11/23/20,20.1
Delaware,11/23/20,21.8
District of Columbia,11/23/20,16.8
Florida,11/23/20,20
Georgia,11/23/20,21.3
Hawaii,11/23/20,13.2
Idaho,11/23/20,22.5
Illinois,11/23/20,22.1
Indiana,11/23/20,25.5
Iowa,11/23/20,26.1
Kansas,11/23/20,22.9
Kentucky,11/23/20,24.2
Louisiana,11/23/20,21.5
Maine,11/23/20,22.4
Maryland,11/23/20,18.8
Massachusetts,11/23/20,25.3
Michigan,11/23/20,23.5
Minnesota,11/23/20,23.7
Mississippi,11/23/20,23.6
Missouri,11/23/20,25.2
Montana,11/23/20,21
Nebraska,11/23/20,22.4
Nevada,11/23/20,19.2
New Hampshire,11/23/20,24.7
New Jersey,11/23/20,21.8
New Mexico,11/23/20,19.5
New York,11/23/20,19.4
North Carolina,11/23/20,26.4
North Dakota,11/23/20,21.2
Ohio,11/23/20,25.6
Oklahoma,11/23/20,26.4
Oregon,11/23/20,21.2
Pennsylvania,11/23/20,20.9
Rhode Island,11/23/20,25.3
South Carolina,11/23/20,29.3
South Dakota,11/23/20,24.2
Tennessee,11/23/20,21.2
Texas,11/23/20,19.6
Utah,11/23/20,26.4
Vermont,11/23/20,20.7
Virginia,11/23/20,24.1
Washington,11/23/20,24.2
West Virginia,11/23/20,25
Wisconsin,11/23/20,21.6
Wyoming,11/23/20,19.9
Alabama,12/7/20,24.3
Alaska,12/7/20,16.6
Arizona,12/7/20,19.5
Arkansas,12/7/20,27.5
California,12/7/20,18
Colorado,12/7/20,21.9
Connecticut,12/7/20,20.6
Delaware,12/7/20,22.3
District of Columbia,12/7/20,20.2
Florida,12/7/20,20
Georgia,12/7/20,23.6
Hawaii,12/7/20,13.2
Idaho,12/7/20,25
Illinois,12/7/20,18.4
Indiana,12/7/20,23.3
Iowa,12/7/20,22.3
Kansas,12/7/20,25.7
Kentucky,12/7/20,23.9
Louisiana,12/7/20,23.6
Maine,12/7/20,23.4
Maryland,12/7/20,20
Massachusetts,12/7/20,23.5
Michigan,12/7/20,24.6
Minnesota,12/7/20,24
Mississippi,12/7/20,25.1
Missouri,12/7/20,25.8
Montana,12/7/20,21.3
Nebraska,12/7/20,23.9
Nevada,12/7/20,18.5
New Hampshire,12/7/20,28.7
New Jersey,12/7/20,18.7
New Mexico,12/7/20,20.8
New York,12/7/20,19.5
North Carolina,12/7/20,18.9
North Dakota,12/7/20,22.9
Ohio,12/7/20,27.4
Oklahoma,12/7/20,25.5
Oregon,12/7/20,22.3
Pennsylvania,12/7/20,23.5
Rhode Island,12/7/20,22.9
South Carolina,12/7/20,21.4
South Dakota,12/7/20,27.5
Tennessee,12/7/20,22.2
Texas,12/7/20,17.5
Utah,12/7/20,28
Vermont,12/7/20,27.4
Virginia,12/7/20,24.6
Washington,12/7/20,20.8
West Virginia,12/7/20,33
Wisconsin,12/7/20,23.3
