group,period_end,value
New Jersey,10/12/20,9.2
New Mexico,10/12/20,10.9
New York,10/12/20,12.1
North Carolina,10/12/20,10.7
North Dakota,10/12/20,6.5
Ohio,10/12/20,9.5
Oklahoma,10/12/20,7.8
Oregon,10/12/20,11.4
Pennsylvania,10/12/20,9.5
Rhode Island,10/12/20,14.3
South Carolina,10/12/20,7.3
South Dakota,10/12/20,5.9
Tennessee,10/12/20,8.3
Texas,10/12/20,6.8
Utah,10/12/20,11.3
Vermont,10/12/20,12.7
Virginia,10/12/20,9.3
Washington,10/12/20,10.5
West Virginia,10/12/20,9.9
Wisconsin,10/12/20,7.7
Wyoming,10/12/20,4.6
Alabama,10/26/20,6.4
Alaska,10/26/20,9.5
Arizona,10/26/20,8.4
Arkansas,10/26/20,6.7
California,10/26/20,11.6
Colorado,10/26/20,12.1
Connecticut,10/26/20,10.9
Delaware,10/26/20,12
District of Columbia,10/26/20,18.5
Florida,10/26/20,8.9
Georgia,10/26/20,9.3
Hawaii,10/26/20,6.1
Idaho,10/26/20,8
Illinois,10/26/20,11.3
Indiana,10/26/20,7.7
Iowa,10/26/20,6.9
Kansas,10/26/20,10.3
Kentucky,10/26/20,8.5
Louisiana,10/26/20,8
Maine,10/26/20,10
Maryland,10/26/20,12.6
Massachusetts,10/26/20,15.9
Michigan,10/26/20,8.7
Minnesota,10/26/20,9.9
Mississippi,10/26/20,8.1
Missouri,10/26/20,9.2
Montana,10/26/20,9.3
Nebraska,10/26/20,9.1
Nevada,10/26/20,7.6
New Hampshire,10/26/20,10.7
New Jersey,10/26/20,9
New Mexico,10/26/20,13
New York,10/26/20,13.7
North Carolina,10/26/20,8.9
North Dakota,10/26/20,6.8
Ohio,10/26/20,8.8
Oklahoma,10/26/20,8.7
Oregon,10/26/20,14.8
Pennsylvania,10/26/20,10.9
Rhode Island,10/26/20,13.3
South Carolina,10/26/20,6.2
South Dakota,10/26/20,6.1
Tennessee,10/26/20,9.9
Texas,10/26/20,8.3
Utah,10/26/20,9.6
Vermont,10/26/20,11.1
Virginia,10/26/20,9
Washington,10/26/20,10.7
West Virginia,10/26/20,7.6
Wisconsin,10/26/20,10.1
Wyoming,10/26/20,6.3
Alabama,11/9/20,9.2
Alaska,11/9/20,13
Arizona,11/9/20,9.4
Arkansas,11/9/20,8.2
California,11/9/20,10.2
Colorado,11/9/20,12.4
Connecticut,11/9/20,13.3
Delaware,11/9/20,11.2
District of Columbia,11/9/20,20.3
Florida,11/9/20,7.2
Georgia,11/9/20,8.5
Hawaii,11/9/20,9.4
Idaho,11/9/20,8.5
Illinois,11/9/20,9.5
Indiana,11/9/20,8.1
Iowa,11/9/20,11.1
Kansas,11/9/20,8.9
Kentucky,11/9/20,7.8
Louisiana,11/9/20,8.9
Maine,11/9/20,9.6
Maryland,11/9/20,12.3
Massachusetts,11/9/20,16
Michigan,11/9/20,7.9
Minnesota,11/9/20,10.1
Mississippi,11/9/20,6.7
Missouri,11/9/20,5.6
Montana,11/9/20,8.6
Nebraska,11/9/20,9.1
Nevada,11/9/20,9
New Hampshire,11/9/20,10.8
New Jersey,11/9/20,10.3
New Mexico,11/9/20,13.1
New York,11/9/20,9.7
North Carolina,11/9/20,10.4
North Dakota,11/9/20,5.8
Ohio,11/9/20,9.7
Oklahoma,11/9/20,8.9
Oregon,11/9/20,11.1
Pennsylvania,11/9/20,10.4
Rhode Island,11/9/20,12.4
South Carolina,11/9/20,9.2
South Dakota,11/9/20,7.8
Tennessee,11/9/20,9.2
Texas,11/9/20,9.8
Utah,11/9/20,11.9
Vermont,11/9/20,13.5
Virginia,11/9/20,11.7
Washington,11/9/20,10.6
West Virginia,11/9/20,12.3
Wisconsin,11/9/20,9.9
Wyoming,11/9/20,10.1
Alabama,11/23/20,6.9
Alaska,11/23/20,8.5
Arizona,11/23/20,10
Arkansas,11/23/20,8.9
California,11/23/20,8.8
Colorado,11/23/20,10.9
Connecticut,11/23/20,15.2
Delaware,11/23/20,10.7
District of Columbia,11/23/20,14.7
Florida,11/23/20,10.3
Georgia,11/23/20,11
Hawaii,11/23/20,6.1
Idaho,11/23/20,10.5
Illinois,11/23/20,9.5
Indiana,11/23/20,9.9
Iowa,11/23/20,13.2
Kansas,11/23/20,9
Kentucky,11/23/20,8.2
Louisiana,11/23/20,8.9
Maine,11/23/20,10.4
Maryland,11/23/20,13.6
Massachusetts,11/23/20,13.2
Michigan,11/23/20,9.6
Minnesota,11/23/20,10.7
Mississippi,11/23/20,6.3
Missouri,11/23/20,9.3
Montana,11/23/20,7.1
Nebraska,11/23/20,7.1
Nevada,11/23/20,6.7
New Hampshire,11/23/20,10.5
New Jersey,11/23/20,12.3
New Mexico,11/23/20,9.6
New York,11/23/20,12.4
North Carolina,11/23/20,9.3
North Dakota,11/23/20,6.8
Ohio,11/23/20,8.5
Oklahoma,11/23/20,8.2
Oregon,11/23/20,13.1
Pennsylvania,11/23/20,7.5
Rhode Island,11/23/20,15.1
South Carolina,11/23/20,9.9
South Dakota,11/23/20,10.7
Tennessee,11/23/20,7.9
Texas,11/23/20,9.3
Utah,11/23/20,9.9
Vermont,11/23/20,10.8
Virginia,11/23/20,9.6
Washington,11/23/20,12.7
West Virginia,11/23/20,7.6
Wisconsin,11/23/20,8.9
Wyoming,11/23/20,9.1
Alabama,12/7/20,8
Alaska,12/7/20,10.4
Arizona,12/7/20,8
Arkansas,12/7/20,6.7
California,12/7/20,11.3
Colorado,12/7/20,11.2
Connecticut,12/7/20,14.3
Delaware,12/7/20,10.1
District of Columbia,12/7/20,14.2
Florida,12/7/20,8.4
Georgia,12/7/20,10.4
Hawaii,12/7/20,8.3
Idaho,12/7/20,11.7
Illinois,12/7/20,10.4
Indiana,12/7/20,8.3
Iowa,12/7/20,9.2
Kansas,12/7/20,7.8
Kentucky,12/7/20,6.9
Louisiana,12/7/20,9.1
Maine,12/7/20,8.7
Maryland,12/7/20,11.1
Massachusetts,12/7/20,13.4
Michigan,12/7/20,9.1
Minnesota,12/7/20,11
Mississippi,12/7/20,11.7
Missouri,12/7/20,10
Montana,12/7/20,8.4
Nebraska,12/7/20,9.9
Nevada,12/7/20,9.9
New Hampshire,12/7/20,12.9
